"Ploidy_level","Ploidy_levelunknown","geneticSexID","geneticSexIDunknown","Cos.aspect","Elevation","delta_t","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","PPT.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_average","n_A_final_average","n_S_final_average","n_R_final_average","longevity_90_final_average","basal_area_density_final_average","index"
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.3094335883778,3.60904496422467e-17,0,0,70,6.8550297529805e-18,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.358096299496,2.37041035289833e-18,0,0,51,4.52736254340691e-19,7
"triploid","0","female","0",1,2800,2.5,0,0,"param_sweep_7_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.6321179429105,7.31886127392871e-23,0,0,66,1.41260375198207e-23,7
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.381227683053,5.55554480359921e-18,0,0,73,1.05839781269762e-18,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,48.9794621691178,9.8174079954605e-14,0,0,53,1.83281314029021e-14,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.0221848364283,1.1764331755684e-12,0,0,90,2.19906761341181e-13,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,48.8983615464133,7.59013977849586e-13,0,0,65,1.40899799333201e-13,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_5",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,48.7309431096474,2.79377422418937e-13,0,0,67,5.16336167183235e-14,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_6",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.4529165660698,1.89723940276355e-20,0,0,66,3.64212605997408e-21,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_7",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,48.677620516122,2.42307077977689e-11,0,0,79,4.44256765416266e-12,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_8",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.0573335358659,5.95945327227812e-14,0,0,77,1.11689762928647e-14,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_9",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.1946641670439,1.35240737188961e-15,0,0,66,2.55945697485661e-16,8
"triploid","0","male","0",1,2800,2.5,0,0,"param_sweep_8_10",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,49.455899511712,1.02721323165943e-18,0,0,73,1.96457547172724e-19,8
"diploid","0","female","0",-1,3200,2.5,0.208947042268433,0,"param_sweep_9_1",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.295916303589611,0,9.26108746018819,0.0670784005021006,0.230205381240456,0.00792505123652368,5,0.000433509794906874,9
"diploid","0","female","0",-1,3200,2.5,0.316295843731675,0.0107986156022839,"param_sweep_9_2",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.559318046842006,0.00329789480522164,10.834101990323,0.0502083226118465,0.319520285875274,0.00552723521696518,20,0.00055115585084536,9
"diploid","0","female","0",-1,3200,2.5,0.186237248472614,0.0154924366938878,"param_sweep_9_3",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0.403956433269255,0.00607020897843432,9.52516996651588,0.115965231856432,0.188463449940909,0.0115161488491916,23,0.001050215962449,9
"diploid","0","female","0",-1,3200,2.5,0.152629754987603,0.0157163560012777,"param_sweep_9_4",4,60,500,0.2,1,54.1779025540226,82.5517863758523,18.5003819856385,9.41873709584272,0.158638306629479,0,0,8.7615772076867,0.0825900196295919,0.117450911130018,0.00976152414339409,21,0.000562299634480621,9
