"geneticSexID","Ploidy_level","n_medium_trees","Cos.aspect","population_density_m2","size_mean","size_sd","site_code","site_type","year","replicate","lambda","X.UTM","Y.UTM","Watershed","Elevation","Slope","Canopy_openness","Summer.Insolation","Soil.type"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,9,0.96561253783862,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",1,-0.799952761691742,0.275354572823348,19.5,6.99961767550515,"AGXLZ","random",2020,10,0.967656535173331,327346.757674397,4310062.18784653,"Washington Gulch-Slate River",3097.72397142707,26.1009579712373,5,23.8570365905762,"Talus"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,1,0.931978504122576,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,2,0.970334346171726,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,3,0.99275319511958,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,4,0.969855749180081,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,5,0.956770100738206,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,6,0.953811990067167,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,7,0.932213211836126,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
"M","Triploid",0,-0.707160939518721,0.132573880126527,39.9,6.99961767550515,"AHQT","grid",2018,8,0.962903016446622,324637.598129671,4308798.56937227,"Oh-be-Joyful Creek-Slate River",2816.8105873408,11.4669491697239,5,21.77077293396,"Soil"
