"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","prefix_this","minsize","maxsize","n_iterations","size_mean_initial","size_sd_initial","n_S_initial","n_A_initial","size_mean_final","n_A_final","n_S_final","longevity_90_final","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","basal_area_density_final","n_A_final_gt_30_cm","cv_n_A_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"73","0","0","0","0",-0.904919922351837,2932.15258789062,"map_3276_1_1",5,70,300,20,5,2.17387085386852,0.1,9.91661171403276,0.0669482003130023,2.28530415063389,31,0.2,1,47.8422050650334,21.8327116443469,0.000661617216408541,0.000841029068531871,0.545960364353713,25,3276,1,"1","diploid","female"
"74","0","0","0","0",-0.904919922351837,2932.15258789062,"map_3276_1_2",5,70,300,20,5,3.47319306353393,0.1,14.123559843752,0.0872347187032209,2.31327655593621,95,0.2,1,47.8422050650334,21.8327116443469,0.00197987520703625,0.00808614483399893,0.586359576997865,25,3276,1,"2","diploid","female"
"75","0","0","0","0",-0.904919922351837,2932.15258789062,"map_3276_1_3",5,70,300,20,5,2.38111448558243,0.1,6.48578489600146,0.0180030400102129,1.16856127685635,64,0.2,1,47.8422050650334,21.8327116443469,6.53214705062003e-05,1.22658053423566e-07,1.27556063014188,25,3276,1,"3","diploid","female"
"76","0","0","0","0",-0.851982116699219,2953.86767578125,"map_3277_1_1",5,70,300,20,5,1.43572969583764,0.1,10.8730183615319,0.091926998930612,2.54117503211998,29,0.2,1,47.2296975698582,21.5863007939403,0.00103181253210707,0.000891766722117651,0.676763416376162,26,3277,1,"1","diploid","female"
"77","0","0","0","0",-0.851982116699219,2953.86767578125,"map_3277_1_2",5,70,300,20,5,4.00030858973697,0.1,17.2439991751153,0.254547445982643,1.22712874617145,123,0.2,1,47.2296975698582,21.5863007939403,0.00745449991154698,0.0223036102966117,0.294208987327907,26,3277,1,"2","diploid","female"
"78","0","0","0","0",-0.851982116699219,2953.86767578125,"map_3277_1_3",5,70,300,20,5,1.55280247150208,0.1,6.72429143760963,0.0147024476286123,1.14281047614692,62,0.2,1,47.2296975698582,21.5863007939403,5.7532613202151e-05,1.0254735505349e-07,1.38281378799032,26,3277,1,"3","diploid","female"
"79","0","0","0","0",-0.233471482992172,2951.47045898438,"map_3486_1_1",5,70,300,20,5,4.30349034830648,0.1,9.52913466175298,0.167711079024181,3.44358147228869,28,0.2,1,54.6301947804384,21.6410228733473,0.00148732956561727,0.0010272286489367,0.422526195315995,27,3486,1,"1","diploid","female"
"80","0","0","0","0",-0.233471482992172,2951.47045898438,"map_3486_1_2",5,70,300,20,5,4.24174528390861,0.1,7.98568455128438,0.227262170189324,3.05509242784423,42,0.2,1,54.6301947804384,21.6410228733473,0.00132025517661165,0.000468758266650067,0.421362598918258,27,3486,1,"2","diploid","female"
"81","0","0","0","0",-0.233471482992172,2951.47045898438,"map_3486_1_3",5,70,300,20,5,4.77651027472784,0.1,6.89382958562576,0.0690442457415574,2.64580141807523,47,0.2,1,54.6301947804384,21.6410228733473,0.000270747118564683,4.4049706659877e-06,0.837109154479597,27,3486,1,"3","diploid","female"
"82","0","0","0","0",-0.592703223228455,2939.67944335938,"map_3590_1_1",5,70,300,20,5,3.32066885663776,0.1,7.09048608732676,0.468101949649016,3.11089306780765,15,0.2,1,53.2722621661088,21.6016064640691,0.00226166393187319,0.00102610381466687,0.59428496534683,28,3590,1,"1","diploid","female"
