"site_code","name","value","year","metric"
"AMYT","PPT.2014",67.8760196864605,2014,"PPT"
"AMYT","PPT.2015",107.008005976677,2015,"PPT"
"AMYT","PPT.2016",96.2830056846142,2016,"PPT"
"AMYT","PPT.2017",98.5300031304359,2017,"PPT"
"AMYT","PPT.2018",46.9070017039776,2018,"PPT"
"AMYT","PPT.2019",60.6560020744801,2019,"PPT"
"AMYT","PPT.2020",44.0510024130344,2020,"PPT"
"AMYT","PPT.2021",113.185000658035,2021,"PPT"
"AMYT","PPT.2022",82.9989991486073,2022,"PPT"
"AMYT","PPT.2023",28.2569996714592,2023,"PPT"
"AMYT","PPT.2024",83.836998552084,2024,"PPT"
"AMYT","PPT.2025",25.2299999892712,2025,"PPT"
"AMYT","PPT.2026",48.8350006639957,2026,"PPT"
"APCV","SWE.2010",11.8524589538574,2010,"SWE"
"APCV","SWE.2011",197.245895385742,2011,"SWE"
"APCV","SWE.2012",0.786885261535645,2012,"SWE"
"APCV","SWE.2013",64,2013,"SWE"
"APCV","SWE.2014",191.524597167969,2014,"SWE"
"APCV","SWE.2015",303.311462402344,2015,"SWE"
"APCV","SWE.2016",137.065567016602,2016,"SWE"
"APCV","SWE.2017",201.508193969727,2017,"SWE"
"APCV","SWE.2018",42,2018,"SWE"
"APCV","SWE.2019",405.475402832031,2019,"SWE"
"APCV","SWE.2020",74.1311492919922,2020,"SWE"
"APCV","SWE.2021",51.3770484924316,2021,"SWE"
"APCV","SWE.2022",59.0491790771484,2022,"SWE"
"APCV","SWE.2023",298.426239013672,2023,"SWE"
"APCV","SWE.2024",256.721313476562,2024,"SWE"
"APCV","SWE.2025",47.8524589538574,2025,"SWE"
"APCV","SWE.2026",19.1475410461426,2026,"SWE"
"APCV","PPT.2010",92.9814110994339,2010,"PPT"
"APCV","PPT.2011",85.0836920142174,2011,"PPT"
"APCV","PPT.2012",101.263194233179,2012,"PPT"
