"","Ploidy_leveltriploid","Ploidy_levelunknown","geneticSexIDmale","geneticSexIDunknown","Cos.aspect","Elevation","delta_years","n_S","n_R","prefix_this","minsize","maxsize","n_iterations","n_S_lag_factor","n_S_scale_factor","SWE.mean","Tmax.mean","size_mean_initial","size_sd_initial","n_A_initial","n_S_initial","n_R_initial","size_mean_final_ten","n_A_final_ten","n_S_final_ten","n_R_final_ten","longevity_90_final_ten","basal_area_density_final_ten","index","pixel","replicate_climate_resample","replicate_data_resample","Ploidy_level","geneticSexID"
"56","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0675290295006001,0,"map_979_3_6",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.116542714225773,0.00789407543003564,13.3990926359318,0.038046174503353,0.062311733932475,0.00348792399635572,23.7272727272727,0.00084671873758064,6,979,3,"6","diploid","female"
"57","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0840696292370909,0,"map_979_3_7",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.0984026095295371,0.00780531920810352,17.8599642574508,0.0684682246071789,0.0787344608958732,0.00332899658551068,43.1818181818182,0.0026731494384213,6,979,3,"7","diploid","female"
"58","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.49909243460854e-19,0,"map_979_3_8",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.123480819510464,0,50.8307181975471,6.10452405511266e-20,2.43872857046321e-19,0,35.2727272727273,1.23909487344042e-20,6,979,3,"8","diploid","female"
"59","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,1.42956960788684e-19,0,"map_979_3_9",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.140167806636971,0,50.8746435469125,4.44457936786595e-20,2.33319626906746e-19,0,53.1818181818182,9.03784232345402e-21,6,979,3,"9","diploid","female"
"60","0","0","0","0",-0.822242736816406,3114.07470703125,2.5,0.0143101329813723,0,"map_979_3_10",4,60,500,0.2,1,53.1287857676219,22.4502257468299,20,5,0.1,0.108328189258547,0,16.5911787620956,0.00711148253019066,0.0118679430039518,0.00070973946698087,31.2727272727273,0.000235230546110843,6,979,3,"10","diploid","female"
"61","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,0.0120228502326106,0,"map_2235_1_1",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.155464435405392,0,14.4565666557197,0.00383107790213747,0.0115668248808236,0.000133082435307123,37.4545454545455,9.38811688147046e-05,7,2235,1,"1","diploid","female"
"62","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,2.5360553123377e-21,0,"map_2235_1_2",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.156493594886196,0,50.9104171393611,7.9499688486226e-22,4.27991580348597e-21,0,18.3636363636364,1.6186290252808e-22,7,2235,1,"2","diploid","female"
"63","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,0.120321003584338,0.0144145752009022,"map_2235_1_3",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.0870847158680942,0.0103895680623175,22.1537154718877,0.141834347046715,0.118011534036499,0.00485839559093306,67.7272727272727,0.00774656552712845,7,2235,1,"3","diploid","female"
"64","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,1.60112322955355e-20,0,"map_2235_1_4",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.13249770970255,0,50.8455302792349,5.94928919496487e-21,2.65868964113266e-20,0,13.5454545454545,1.20820700704465e-21,7,2235,1,"4","diploid","female"
"65","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,0.0682660380944601,0.0141063167805939,"map_2235_1_5",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.0526855597945563,0.00408867117495201,24.342836747935,0.25365161055081,0.0657483270843382,0.00566917962890722,90.9090909090909,0.0162410751236221,7,2235,1,"5","diploid","female"
"66","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,0.136666360623486,0.00848809118729101,"map_2235_1_6",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.118001275722338,0.00748269697868519,18.5978415829103,0.103432467513278,0.133653430308006,0.00592269445505871,40,0.00426037095227555,7,2235,1,"6","diploid","female"
"67","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,0.0606520431307396,0.00386013906588281,"map_2235_1_7",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.0890712720082044,0.00584112528789122,19.0948832759075,0.0447452621563652,0.0601705589719877,0.00207386745596232,44.0909090909091,0.00192346811319163,7,2235,1,"7","diploid","female"
"68","0","0","0","0",-0.506825804710388,3098.98779296875,2.5,1.74959403481098e-19,0,"map_2235_1_8",4,60,500,0.2,1,68.2861686325835,23.2133086115062,20,5,0.1,0.113712112354794,0,50.8379903345345,7.16463682077925e-20,2.84925753390429e-19,0,60.0909090909091,1.45458081678596e-20,7,2235,1,"8","diploid","female"
