"replicate","geneticSexIDM","Ploidy_levelTriploid","n_medium_trees","Cos.aspect","Elevation","lambda"
2,"0","0",5,0,3000,1.00000000955315
3,"0","0",5,0,3000,1.00000003158791
4,"0","0",5,0,3000,0.999942188569166
5,"0","0",5,0,3000,0.996304893098775
6,"0","0",5,0,3000,0.997981808246361
7,"0","0",5,0,3000,1.0000087428745
8,"0","0",5,0,3000,1.00038075467795
9,"0","0",5,0,3000,0.98910957986953
10,"0","0",5,0,3000,0.999999987662566
1,"1","0",5,0,3000,1.00000003194272
2,"1","0",5,0,3000,1.00657520622497
3,"1","0",5,0,3000,1.00016520747932
4,"1","0",5,0,3000,1.00017975709071
5,"1","0",5,0,3000,1.01106816131086
6,"1","0",5,0,3000,1.01322728907668
7,"1","0",5,0,3000,1.00000000000003
8,"1","0",5,0,3000,1
9,"1","0",5,0,3000,0.981222858161077
10,"1","0",5,0,3000,1.00000000138077
1,"0","1",5,0,3000,0.999999776001737
2,"0","1",5,0,3000,1.0000004754325
3,"0","1",5,0,3000,1.00000617686863
4,"0","1",5,0,3000,0.990661850181988
5,"0","1",5,0,3000,0.976138964514634
6,"0","1",5,0,3000,0.95434616116155
7,"0","1",5,0,3000,0.978712729702608
8,"0","1",5,0,3000,0.992437776408884
9,"0","1",5,0,3000,NA
10,"0","1",5,0,3000,1
1,"1","1",5,0,3000,1.00000000499702
2,"1","1",5,0,3000,1.00024913765454
3,"1","1",5,0,3000,1.00000005979336
4,"1","1",5,0,3000,1.0001948671922
5,"1","1",5,0,3000,1.0069828202157
6,"1","1",5,0,3000,1.00000444494807
7,"1","1",5,0,3000,1.0000939487798
8,"1","1",5,0,3000,1
9,"1","1",5,0,3000,NA
10,"1","1",5,0,3000,1.00000000004566
1,"0","0",15,0,3000,0.99999999390282
2,"0","0",15,0,3000,1.00006536908263
3,"0","0",15,0,3000,0.999996798788894
4,"0","0",15,0,3000,0.998774106007986
5,"0","0",15,0,3000,1.00024085380445
6,"0","0",15,0,3000,0.99984604009928
7,"0","0",15,0,3000,1.00064737404999
8,"0","0",15,0,3000,1
9,"0","0",15,0,3000,1.02709337756664
10,"0","0",15,0,3000,1.00027843834666
1,"1","0",15,0,3000,1.00000004130595
2,"1","0",15,0,3000,1.00255382279804
3,"1","0",15,0,3000,1.00019771786618
4,"1","0",15,0,3000,1.00000076395091
5,"1","0",15,0,3000,1.00174251354014
6,"1","0",15,0,3000,1.00000000000001
7,"1","0",15,0,3000,1
8,"1","0",15,0,3000,1
9,"1","0",15,0,3000,0.928392983400085
10,"1","0",15,0,3000,1.00000000018185
1,"0","1",15,0,3000,1.02185738959667
2,"0","1",15,0,3000,1.00000024130408
3,"0","1",15,0,3000,0.999999353234256
4,"0","1",15,0,3000,0.998403548001156
5,"0","1",15,0,3000,1.00002294837841
6,"0","1",15,0,3000,0.902143554913521
7,"0","1",15,0,3000,1.00160993102933
8,"0","1",15,0,3000,0.999151880254647
9,"0","1",15,0,3000,NA
10,"0","1",15,0,3000,0.99999999915695
1,"1","1",15,0,3000,0.999390698840078
2,"1","1",15,0,3000,1
3,"1","1",15,0,3000,1.00000020926793
4,"1","1",15,0,3000,1
